account_number,acct_name,cusip,asset_name,shares,market_value,
337109989,Apex Sm/Mid Growth,930427109,WAGEWORKS ORD,15,834,
337109989,Apex Sm/Mid Growth,957638109,WESTERN ALLIANCE ORD,46,2664,
337109989,Apex Sm/Mid Growth,98310W108,WYNDHAM WORLDWIDE ORD,26,3024,
337109990,Hahn Capital Mid Cap Value,00846U101,AGILENT TECHNOLOGIES ORD,91,6227,
337109990,Hahn Capital Mid Cap Value,012653101,ALBEMARLE ORD,48,5356,
337109990,Hahn Capital Mid Cap Value,015271109,ALEXANDRIA REAL ESTATE EQ REIT ORD,23,2739,
337109990,Hahn Capital Mid Cap Value,06652K103,BANKUNITED ORD,85,3372,
337109990,Hahn Capital Mid Cap Value,09215C105,BLACK KNIGHT ORD,28,1311,
337109990,Hahn Capital Mid Cap Value,142339100,CARLISLE COMPANIES ORD,29,3041,
337109990,Hahn Capital Mid Cap Value,146229109,CARTERS ORD,46,5470,
337109990,Hahn Capital Mid Cap Value,125581801,CIT GROUP ORD,62,3135,
337109990,Hahn Capital Mid Cap Value,22282E102,COVANTA HOLDING ORD,196,3038,
337109990,Hahn Capital Mid Cap Value,27579R104,EAST WEST BANCORP ORD,90,5783,
337109990,Hahn Capital Mid Cap Value,298736109,EURONET WORLDWIDE ORD,72,5749,
337109990,Hahn Capital Mid Cap Value,31620R303,FIDELITY NATIONAL FINANCIAL ORD,94,3561,
337109990,Hahn Capital Mid Cap Value,33616C100,FIRST REPUBLIC BANK ORD,55,4981,
337109990,Hahn Capital Mid Cap Value,G3922B107,GENPACT ORD,160,5168,
337109990,Hahn Capital Mid Cap Value,428291108,HEXCEL ORD,105,6774,
337109990,Hahn Capital Mid Cap Value,44107P104,HOST HOTELS & RESORTS REIT ORD,174,3379,
337109990,Hahn Capital Mid Cap Value,45167R104,IDEX ORD,38,5040,
337109990,Hahn Capital Mid Cap Value,469814107,JACOBS ENGINEERING GROUP ORD,88,5552,
337109990,Hahn Capital Mid Cap Value,47580P103,JELD WEN HOLDING ORD,43,1612,
337109990,Hahn Capital Mid Cap Value,49338L103,KEYSIGHT TECHNOLOGIES ORD,153,6737,
337109990,Hahn Capital Mid Cap Value,59522J103,MID AMERICA APT COMMUNITI REIT ORD,65,5703,
337109990,Hahn Capital Mid Cap Value,608190104,MOHAWK INDUSTRIES ORD,26,6618,
337109990,Hahn Capital Mid Cap Value,723787107,PIONEER NATURAL RESOURCE ORD,27,4618,
337109990,Hahn Capital Mid Cap Value,693656100,PVH ORD,45,6605,
337109990,Hahn Capital Mid Cap Value,759509102,RELIANCE STEEL ORD,50,4259,
